state,acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,NCES District ID,nces_original_name,county,student
UT,Alpine School District,39330,2020,1059030997,648087149,146552046,5979882,0,0,185909219,0,66222363,0,4792707,29614652,195882899,4686677,528059534,-10714054,768957816,0,0,0,758243762,alpine,4900030,Alpine District,Utah County,83540
TX,Katy Independent School District,38990,2020,2787669152,2104407890,108378177,7455000,0,0,223796599,0,281189550,0,33037942,18618039,144751022,0,926599772,17082743,1072886090,0,0,0,1089968833,katy,4825170,KATY ISD,Fort Bend County,83423
TX,Fort Worth Independent School District,39194,2020,2010513068,1101918135,234239862,0,0,0,305150969,0,352419124,0,8385936,8517711,260696876,0,849338803,43584125,1074969265,0,0,0,1118553390,fort worth,4819700,FORT WORTH ISD,Tarrant County,82891
TX,Austin Independent School District,39211,2020,2497995416,1259752262,804135841,0,1752489,0,118517031,0,302775488,0,0,12359383,194268580,0,1551262282,84932679,1672957566,90599189,637157,0,1757890245,austin,4808940,AUSTIN ISD,Travis County,80911
MD,Baltimore City Public School System,44313,2020,426185000,64165000,301124000,6409000,0,0,0,0,0,0,54487000,39000,192979000,84480000,1434173000,264845000,1446826000,0,0,0,1711671000,baltimore city,2400090,Baltimore City Public Schools,Baltimore city,79187
TX,Fort Bend Independent School District,38940,2020,1939809685,1241447450,215688777,0,0,0,206732032,0,270110960,0,3783094,32229778,173804959,0,765027201,-92545242,1063607180,10362075,0,0,971061938,fort bend,4819650,FORT BEND ISD,Fort Bend County,77756
SC,The School District of Greenville County,38341,2020,2523154282,711803779,143896070,0,0,0,895763981,0,760663343,0,11027109,10604424,450383970,0,493925818,14206563,940707649,0,0,0,954914212,greenville,4502310,Greenville 01,Greenville County,77302
FL,Pasco County District School Board,148148,2020,1220077040,107064327,66761812,28447871,0,0,397711685,220109,98611974,0,39145831,20711487,45792654,38374100,719005325,22202419,801681147,0,0,0,823883566,pasco,1201530,PASCO,Pasco County,76661
UT,Davis School District,39313,2020,889548468,590948844,94121474,0,0,0,181144594,0,0,0,11704564,21386187,135905988,0,571185591,34254237,694223529,0,0,0,728477766,davis,4900210,Davis District,Davis County,74773
WI,Milwaukee Public Schools,40012,2020,1413229033,235263878,81828323,117760309,0,12939012,187257004,0,762277112,0,13336800,29552427,323190316,10409910,845020466,-60093698,1268266817,0,0,0,1208173119,milwaukee,5509600,Milwaukee School District,Milwaukee County,74683
FL,Brevard District School Board County,93779,2020,970289235,1372640,92412721,0,0,0,393361434,0,17244106,0,45586220,13410175,38062128,2778405,748724083,-6142534,809117325,6440117,0,0,802974791,brevard,1200150,BREVARD,Brevard County,73962
NC,Guilford County Board of Education,36571,2020,1173118351,0,26838699,0,0,0,301635944,0,804006602,1114168,38729867,18609816,545132046,8832603,224294978,-25231627,822101070,0,0,0,796869443,guilford,3701920,Guilford County Schools,Guilford County,72682
CA,Long Beach Unified School District,146325,2020,3148525800,1604403010,182972369,0,0,0,922386344,0,425718817,0,13045260,11155221,241290427,8333227,875230225,12432101,1123576999,0,0,0,1136009100,long beach unified,0622500,Long Beach Unified,Los Angeles County,71712
CA,Fresno Unified School District,146154,2020,3034261964,787415362,204081966,0,52959,0,942203000,0,1019190619,0,4534280,2480798,278345288,10632553,875250785,-67104085,1233813509,0,0,0,1166709424,fresno unified,0614550,Fresno Unified,Fresno County,71265
FL,Osceola County District School Board,198253,2020,629910852,110740961,23003444,135208259,0,0,297815602,0,15687722,0,39187184,6004172,148848052,78875950,561524897,85306248,709946823,0,0,0,795253071,osceola,1201470,OSCEOLA,Osceola County,69925
FL,District School Board of Seminole County,32425,2020,601902285,5373691,47248046,0,0,0,346916779,0,18813350,0,24284316,23780283,58504385,16965807,582975336,16078735,666147076,78670353,968521,0,682225811,seminole,1201710,SEMINOLE,Seminole County,68096
NV,Washoe County School District,35535,2020,2191603737,1128410507,94937135,0,0,4626862,716187044,0,196695810,0,35685729,5664600,147832087,1087325,616173653,-10396778,781154443,0,0,0,770757665,washoe,3200480,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,67301
TX,Aldine Independent School District,38981,2020,1730907415,1153879398,114330645,0,0,0,206674704,0,244402754,0,8142914,8122635,160538767,0,682017604,12428861,838250145,0,0,0,850679006,aldine,4807710,ALDINE ISD,Harris County,67259
UT,Granite School District,39321,2020,604234008,256078557,83865317,0,0,0,214554003,0,1982613,0,5101079,13999187,207452231,0,474871758,20650425,675672751,0,0,0,696323176,granite,4900360,Granite District,Salt Lake County,66276
TX,Conroe Independent School District,39105,2020,1873250052,1424833695,72430287,0,0,0,169824823,0,205866828,0,294419,8489531,104132379,0,629684560,11725074,730581396,0,0,0,742306470,conroe,4815000,CONROE ISD,Montgomery County,64799
