"","FIPS","state.abb","state.name","county","population","total_liabilities","revenues","liab_rev_ratio","liab_percapita"
"63","0500000US13067","GA","Georgia","Cobb County",766149,1816539766,1224138472,148.393323757902,2371.00063564659
"64","0500000US06081","CA","California","San Mateo County",764442,1979736000,2201904000,89.9101868201339,2589.77921150329
"65","0500000US12071","FL","Florida","Lee County",760822,2530890000,1299023000,194.830268594167,3326.5205264832
"66","0500000US36055","NY","New York","Monroe County",759443,2108989000,1647068000,128.045047320451,2777.02079023706
"67","0500000US08041","CO","Colorado","El Paso County",730395,802181693,543782241,147.518920721797,1098.28475413988
"68","0500000US12105","FL","Florida","Polk County",725046,1366570778,972172473,140.568758728885,1884.80562336734
"69","0500000US34017","NJ","New Jersey","Hudson County",724854,1109464808,774659279,143.219714534653,1530.60451897899
"70","0500000US29095","MO","Missouri","Jackson County",717204,544917604,379903957,143.435622072239,759.780486444582
"71","0500000US17097","IL","Illinois","Lake County",714342,412208585,561961256,73.3517801447863,577.046547732039
"72","0500000US17197","IL","Illinois","Will County",696355,635030409,477328660,133.038399370363,911.934873735379
"73","0500000US35001","NM","New Mexico","Bernalillo County",676444,802443844,492791899,162.836249059362,1186.26796009721
"74","0500000US01073","AL","Alabama","Jefferson County",674721,2965742000,789214000,375.784261303018,4395.50866209885
"75","0500000US40143","OK","Oklahoma","Tulsa County",669279,248720189,329527316,75.4778669092185,371.624074563822
"76","0500000US49049","UT","Utah","Utah County",659399,328192274,332859563,98.5978203666632,497.714242818081
"77","0500000US26081","MI","Michigan","Kent County",657974,258942401,462703732,55.9628944164211,393.545035214157
"78","0500000US08005","CO","Colorado","Arapahoe County",655070,435652646,509757461,85.4627306769327,665.047469736059
"79","0500000US34025","NJ","New Jersey","Monmouth County",643615,2519448708,670942714,375.508766311754,3914.52764152482
"80","0500000US34029","NJ","New Jersey","Ocean County",637229,981487997,607245768,161.629450334844,1540.24376950829
"81","0500000US48339","TX","Texas","Montgomery County",620443,1112577123,556157482,200.047137547994,1793.19796177892
"82","0500000US20091","KS","Kansas","Johnson County",609863,1383005817,828285621,166.97209053687,2267.73196111258
"83","0500000US48491","TX","Texas","Williamson County",609017,1352794743,507231383,266.701704259494,2221.27583138073
"84","0500000US12009","FL","Florida","Brevard County",606612,920994570,764680908,120.441684938733,1518.25972779965
"85","0500000US41067","OR","Oregon","Washington County",600372,741441000,604416000,122.67064405972,1234.96931902221
"86","0500000US24003","MD","Maryland","Anne Arundel County",588261,4134565173,2203700704,187.619179205925,7028.45365067547
"87","0500000US31055","NE","Nebraska","Douglas County",584526,487154430,383481585,127.034634531408,833.417897578551
"88","0500000US08059","CO","Colorado","Jefferson County",582910,131834800,520235062,25.341390773081,226.166646652142
"89","0500000US42045","PA","Pennsylvania","Delaware County",576830,1040531829,716972528,145.128549332646,1803.87952949743
"90","0500000US10003","DE","Delaware","New Castle County",570719,1257525117,373182690,336.973056547719,2203.40503294967
"91","0500000US12101","FL","Florida","Pasco County",561891,1294675425,992386999,130.460740245953,2304.13981537344
"92","0500000US55025","WI","Wisconsin","Dane County",561504,748979851,659479417,113.571376405823,1333.88159478828
"93","0500000US12127","FL","Florida","Volusia County",553543,695356883,698702560,99.5211586171947,1256.19307443144
"94","0500000US42071","PA","Pennsylvania","Lancaster County",552984,369119890,329406010,112.056209903396,667.505551697698
"95","0500000US06099","CA","California","Stanislaus County",552878,1042882524,1305743178,79.8688855183129,1886.27965663311
"96","0500000US27123","MN","Minnesota","Ramsey County",552352,699894491,1087437144,64.3618341401809,1267.11678603499
"97","0500000US37081","NC","North Carolina","Guilford County",541299,1222139137,652058437,187.427854261473,2257.78938627265
"98","0500000US39153","OH","Ohio","Summit County",540428,535726723,621513094,86.1971739890648,991.300826382053
"99","0500000US53063","WA","Washington","Spokane County",539339,447342000,526863000,84.9067025014093,829.426390452016
"100","0500000US39113","OH","Ohio","Montgomery County",537309,707900209,818520898,86.4852944780892,1317.49181383524
